Question,Answer,Class
What is the ATS?,"The ATS is an Application Tracking System, hosted on the public website of the Reserve Bank of India (RBI), which has been developed for members of the public to submit any individual application to RBI and keep track of the status of its disposal thereafter.",Application Tracking System (ATS)
What is an application?,"An application can be any application, addressed to any department of RBI, through which members of the public can apply (except such applications for which specific instructions have been given regarding mode of submission, etc.)",Application Tracking System (ATS)
How can the ATS be accessed?,A link to ATS has been provided in the RBI website http://www.rbi.org.in.,Application Tracking System (ATS)
Who receives the application?,"The Department / Office selected by the applicant, while submitting his/her application through ATS, will receive the application.",Application Tracking System (ATS)
Can the ATS application be transferred to any other office / department / section?,Yes. The applicant will immediately receive a mail conveying details of the original office / department where the application was submitted and the details of the office / department / section to which it has been transferred. The information can also be ascertained through ATS by the applicant under ’My Application’. The entire history will be shown.,Application Tracking System (ATS)
What happens when an application is transferred to another office / department?,The application is automatically inwarded in the receiving office/ department and marked to the administrator of that department.,Application Tracking System (ATS)
Is there any limit on the amount of cash that can be withdrawn under this facility?,"Under the facility of cash withdrawal at PoS terminals, cardholders can withdraw cash using their debit cards and full KYC prepaid cards issued by banks and non-banks in India. However, credit cards cannot be used under this facility. Cash can also be withdrawn at PoS terminals through Unified Payments Interface (UPI) as well as through use of electronic cards that are linked with overdraft facility provided along with Pradhan Mantri Jan Dhan Yojana (PMJDY) accounts.",Cash Withdrawal Facility at Point of Sale (PoS) Terminals
What are the charges for availing this facility?,"Yes. Under this facility, a cardholder can withdraw cash up to ?2,000 per transaction within an overall monthly limit of ?10,000.",Cash Withdrawal Facility at Point of Sale (PoS) Terminals
What are the charges for availing this facility?,"Charges, if any, levied on cash withdrawals shall not exceed 1% of the transaction amount.",Cash Withdrawal Facility at Point of Sale (PoS) Terminals
Is this facility available at all merchant establishments? How will I know if the facility is available at a particular merchant PoS?,"No. The facility is made available at merchant establishments designated by the acquirer banks (i.e. the banks that deploy the PoS terminals) after a process of due diligence. The designated merchant establishments have to clearly indicate / display the availability of this facility along with the charges, if any, payable by the customer.",Cash Withdrawal Facility at Point of Sale (PoS) Terminals
Is withdrawal of cash using PoS terminals deployed by other banks (i.e. banks other than my card issuer) at designated merchant establishments permitted?,"Yes. Under this facility, cash can be withdrawn from PoS terminal(s) at designated merchant establishment(s), irrespective of the fact whether the card issuer and the acquiring bank are same or not.",Cash Withdrawal Facility at Point of Sale (PoS) Terminals
Is it mandatory for the cardholder to purchase some goods / service from the merchant establishment for availing this facility?,No. The facility is available irrespective of whether the card holder makes a purchase or not.,Cash Withdrawal Facility at Point of Sale (PoS) Terminals
Will a receipt be provided for the cash withdrawn at PoS terminal?,"es. The merchant is required to provide a printed receipt generated by the PoS terminal. In case the facility is availed along with the purchase of merchandise, the receipt generated shall separately indicate the amount of cash withdrawn.",Cash Withdrawal Facility at Point of Sale (PoS) Terminals
What is an Automated Teller Machine (ATM)?,An ATM is a computerised machine that provides customers of banks the facility of accessing their accounts for dispensing cash and to carry out other financial & non-financial transactions without the need to visit the bank branch.,ATM/White Label ATM
What are White Label ATMs (WLAs)?,"ATMs set up, owned and operated by non-banks are called WLAs. Non-bank ATM operators are authorised under the Payment & Settlement Systems Act, 2007 by the Reserve Bank of India (RBI). The list of authorised WLA Operators is available on the RBI website at the link https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=12043",ATM/White Label ATM
"As a customer, is there any difference in facilities available at a bank ATM and a WLA?","For a customer, using a WLA is just like using an ATM of any bank.",ATM/White Label ATM
Can a bank offer more number of free transactions at ATMs?,RBI has mandated minimum number of free transactions at ATMs. Banks may offer more number of free transactions to their customers.,ATM/White Label ATM
